search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
soligago,1,0,1,1,0,1
roses artica,1,0,1,1,1,0
eucu,1,0,1,1,0,1
calyphyllus,1,0,1,1,0,1
"delphinium belladonna (light blue, dark blue)",1,0,1,1,1,0
rust,2,1,1,0.5,0,1
eucalyputs,1,0,1,1,0,1
transetter,1,0,1,1,0,1
quicksaned,1,0,1,1,0,1
garden roses glam,1,0,1,1,1,0
campanula lavender,1,0,1,1,1,0
blue ocean,1,0,1,1,0,1
bleached am,1,0,1,1,0,1
hydrangea antique apple jumbo (20-24 cm) exclusive grown / cannot be cancelled,5,8,1,0.14285714285714285,9,0
hellbourne,1,0,1,1,0,0
"olive ",2,3,1,0.25,0,3
baronia,1,0,1,1,0,1
teeedia,1,0,1,1,1,0
grasses bunnytail,1,0,1,1,1,0
premade arrangement,1,0,1,1,0,1
trending homepage,1,0,1,1,0,1
snapdrangon,1,0,1,1,0,1
grenery,1,0,1,1,0,0
lillie,1,0,1,1,0,1
marigold african orange,3,2,1,0.3333333333333333,3,0
garden roses candy x pression,4,7,1,0.14285714285714285,8,0
spray roses floreana,3,7,1,0.2,8,0
dried and preserved flowers market bunches assorted,1,0,1,1,1,0
larkpspur,1,0,1,1,0,1
maricaria,1,0,1,1,0,1
gizelle,1,0,1,1,0,0
crespidia,1,0,1,1,0,1
"hydrangea japanese super select grade assorted (pink, lilac)",1,0,1,1,1,0
single stem,1,0,1,1,0,1
amarantg,1,0,1,1,0,1
"peonies ",3,7,1,0.125,0,3
ginestra white (150 gr.),1,0,1,1,1,0
roses arleen,2,1,1,0.5,2,0
garden roses melon x pression (salmon to peach color),1,0,1,1,1,0
candlelight,3,2,1,0.3333333333333333,0,2
lipedium,1,0,1,1,0,0
roses heart of gold sand,1,0,1,1,1,0
orange snap,1,0,1,1,0,1
heliconia golden torch,1,0,1,1,0,0
"mixed box aga - combo 4 (20 freesia yellow, snapdragon white, solomio bernie, mini carnation alessia",1,0,1,1,1,0
snowdance,1,0,1,1,0,1
"roses assorted  (25 red, 50 seasonal colors)",2,1,1,0.5,2,0
spray roses sahara sensation (jumbo) peach - pinky color tones,2,2,1,0.3333333333333333,3,0
